System 1	System 2	System 3	System 4	System 5	System 6	System 7	System 8	Speed
0.93	1.60	1.59	1.14	1.71	1.29	1.62	0.49	80
0.94	1.59	1.58	1.13	1.70	1.28	1.60	0.49	81
0.94	1.57	1.57	1.13	1.69	1.27	1.59	0.49	82
0.94	1.56	1.56	1.12	1.68	1.27	1.58	0.49	83
0.94	1.55	1.55	1.12	1.67	1.26	1.56	0.50	84
0.94	1.53	1.54	1.12	1.66	1.26	1.55	0.50	85
0.94	1.52	1.53	1.11	1.65	1.25	1.54	0.51	86
0.95	1.51	1.53	1.11	1.64	1.25	1.53	0.51	87
0.95	1.50	1.52	1.11	1.63	1.24	1.51	0.51	88
0.95	1.49	1.51	1.11	1.62	1.24	1.50	0.52	89
0.96	1.47	1.51	1.10	1.61	1.24	1.49	0.52	90
0.96	1.46	1.50	1.10	1.60	1.23	1.48	0.53	91
0.97	1.45	1.50	1.10	1.59	1.23	1.47	0.53	92
0.97	1.44	1.49	1.10	1.59	1.23	1.46	0.54	93
0.98	1.43	1.49	1.10	1.58	1.23	1.46	0.55	94
0.98	1.43	1.48	1.10	1.58	1.23	1.45	0.55	95
0.99	1.42	1.48	1.10	1.57	1.23	1.44	0.56	96
1.00	1.41	1.47	1.10	1.56	1.23	1.43	0.56	97
1.00	1.40	1.47	1.10	1.56	1.23	1.42	0.57	98
1.01	1.39	1.47	1.10	1.56	1.23	1.42	0.58	99
1.02	1.39	1.47	1.11	1.55	1.23	1.41	0.58	100
1.03	1.38	1.47	1.11	1.55	1.23	1.40	0.59	101
1.03	1.37	1.46	1.11	1.54	1.23	1.40	0.60	102
1.04	1.37	1.46	1.11	1.54	1.23	1.39	0.61	103
1.05	1.36	1.46	1.11	1.54	1.23	1.39	0.61	104
1.06	1.36	1.46	1.12	1.54	1.23	1.38	0.62	105
1.07	1.35	1.46	1.12	1.53	1.24	1.38	0.63	106
1.08	1.35	1.46	1.13	1.53	1.24	1.37	0.64	107
1.09	1.34	1.47	1.13	1.53	1.24	1.37	0.65	108
1.10	1.34	1.47	1.13	1.53	1.25	1.37	0.66	109
1.11	1.33	1.47	1.14	1.53	1.25	1.36	0.67	110
1.12	1.33	1.47	1.14	1.53	1.25	1.36	0.68	111
1.13	1.33	1.47	1.15	1.53	1.26	1.36	0.68	112
1.14	1.32	1.48	1.16	1.53	1.26	1.36	0.69	113
1.16	1.32	1.48	1.16	1.53	1.27	1.35	0.70	114
1.17	1.32	1.48	1.17	1.53	1.27	1.35	0.71	115
1.18	1.31	1.49	1.17	1.53	1.28	1.35	0.73	116
1.19	1.31	1.49	1.18	1.54	1.28	1.35	0.74	117
1.21	1.31	1.50	1.19	1.54	1.29	1.35	0.75	118
1.22	1.31	1.50	1.20	1.54	1.30	1.35	0.76	119
1.23	1.31	1.51	1.20	1.54	1.30	1.35	0.77	120
1.25	1.31	1.51	1.21	1.55	1.31	1.35	0.78	121
1.26	1.31	1.52	1.22	1.55	1.32	1.35	0.79	122
1.28	1.31	1.52	1.23	1.55	1.33	1.35	0.81	123
1.29	1.31	1.53	1.24	1.56	1.34	1.35	0.82	124
1.31	1.31	1.54	1.25	1.56	1.34	1.35	0.83	125
1.33	1.31	1.54	1.26	1.57	1.35	1.35	0.84	126
1.34	1.31	1.55	1.27	1.57	1.36	1.35	0.86	127
1.36	1.31	1.56	1.28	1.58	1.37	1.35	0.87	128
1.38	1.31	1.57	1.29	1.58	1.38	1.35	0.88	129
1.39	1.31	1.58	1.30	1.59	1.39	1.35	0.90	130
