System 1	System 2	System 3	System 4	System 5	System 6	Speed
1.77	1.70	0.95	1.53	1.31	1.62	80
1.76	1.69	0.94	1.51	1.30	1.60	81
1.75	1.67	0.94	1.49	1.30	1.59	82
1.75	1.66	0.94	1.48	1.29	1.58	83
1.74	1.65	0.94	1.46	1.28	1.56	84
1.73	1.64	0.94	1.45	1.28	1.55	85
1.72	1.63	0.93	1.43	1.27	1.54	86
1.72	1.62	0.93	1.42	1.27	1.53	87
1.71	1.62	0.93	1.40	1.26	1.52	88
1.71	1.61	0.93	1.39	1.26	1.51	89
1.70	1.60	0.93	1.38	1.25	1.50	90
1.70	1.59	0.93	1.36	1.25	1.49	91
1.70	1.59	0.93	1.35	1.25	1.48	92
1.69	1.58	0.93	1.34	1.25	1.47	93
1.69	1.58	0.94	1.33	1.24	1.46	94
1.69	1.57	0.94	1.31	1.24	1.46	95
1.69	1.57	0.94	1.30	1.24	1.45	96
1.69	1.56	0.94	1.29	1.24	1.44	97
1.69	1.56	0.94	1.28	1.24	1.43	98
1.69	1.55	0.95	1.27	1.24	1.43	99
1.69	1.55	0.95	1.26	1.24	1.42	100
1.69	1.55	0.95	1.25	1.24	1.42	101
1.69	1.55	0.96	1.24	1.24	1.41	102
1.69	1.55	0.96	1.23	1.24	1.41	103
1.70	1.54	0.97	1.22	1.24	1.40	104
1.70	1.54	0.97	1.21	1.25	1.40	105
1.70	1.54	0.97	1.20	1.25	1.39	106
1.71	1.54	0.98	1.20	1.25	1.39	107
1.71	1.54	0.99	1.19	1.25	1.39	108
1.72	1.54	0.99	1.18	1.26	1.38	109
1.72	1.54	1.00	1.17	1.26	1.38	110
1.73	1.55	1.00	1.17	1.26	1.38	111
1.73	1.55	1.01	1.16	1.27	1.38	112
1.74	1.55	1.02	1.15	1.27	1.38	113
1.75	1.55	1.02	1.14	1.28	1.37	114
1.75	1.56	1.03	1.14	1.28	1.37	115
1.76	1.56	1.04	1.13	1.29	1.37	116
1.77	1.56	1.05	1.12	1.30	1.37	117
1.78	1.57	1.06	1.12	1.30	1.37	118
1.79	1.57	1.07	1.11	1.31	1.37	119
1.80	1.58	1.07	1.11	1.32	1.37	120
1.81	1.58	1.08	1.10	1.32	1.37	121
1.82	1.59	1.09	1.10	1.33	1.38	122
1.83	1.59	1.10	1.09	1.34	1.38	123
1.84	1.60	1.11	1.09	1.35	1.38	124
1.85	1.60	1.12	1.08	1.36	1.38	125
1.86	1.61	1.13	1.08	1.36	1.38	126
1.88	1.62	1.15	1.07	1.37	1.38	127
1.89	1.63	1.16	1.07	1.38	1.39	128
1.90	1.63	1.17	1.06	1.39	1.39	129
1.92	1.64	1.18	1.06	1.40	1.39	130
