System 1	System 2	System 3	System 4	System 5	System 6	System 7	System 8	Speed
1.78	0.98	1.63	0.58	0.33	1.68	0.31	0.97	80
1.77	0.97	1.62	0.58	0.34	1.67	0.31	0.97	81
1.76	0.97	1.60	0.58	0.34	1.66	0.32	0.97	82
1.75	0.97	1.59	0.58	0.35	1.64	0.32	0.97	83
1.74	0.97	1.58	0.59	0.35	1.63	0.33	0.96	84
1.74	0.96	1.56	0.59	0.36	1.62	0.33	0.96	85
1.73	0.96	1.55	0.59	0.36	1.61	0.34	0.96	86
1.72	0.96	1.54	0.60	0.37	1.60	0.34	0.96	87
1.72	0.96	1.53	0.60	0.37	1.60	0.35	0.96	88
1.71	0.96	1.52	0.60	0.38	1.59	0.36	0.96	89
1.70	0.96	1.51	0.61	0.39	1.58	0.36	0.96	90
1.70	0.96	1.50	0.61	0.39	1.57	0.37	0.96	91
1.70	0.96	1.49	0.61	0.40	1.56	0.38	0.96	92
1.69	0.96	1.48	0.62	0.41	1.56	0.38	0.96	93
1.69	0.96	1.47	0.62	0.41	1.55	0.39	0.96	94
1.68	0.97	1.46	0.63	0.42	1.55	0.40	0.96	95
1.68	0.97	1.45	0.63	0.43	1.54	0.41	0.97	96
1.68	0.97	1.45	0.64	0.44	1.54	0.41	0.97	97
1.68	0.97	1.44	0.64	0.44	1.53	0.42	0.97	98
1.68	0.98	1.43	0.65	0.45	1.53	0.43	0.97	99
1.68	0.98	1.43	0.66	0.46	1.53	0.44	0.98	100
1.68	0.98	1.42	0.66	0.47	1.52	0.45	0.98	101
1.68	0.99	1.41	0.67	0.48	1.52	0.46	0.98	102
1.68	0.99	1.41	0.68	0.48	1.52	0.46	0.99	103
1.68	0.99	1.40	0.68	0.49	1.52	0.47	0.99	104
1.68	1.00	1.40	0.69	0.50	1.51	0.48	1.00	105
1.68	1.00	1.39	0.70	0.51	1.51	0.49	1.00	106
1.68	1.01	1.39	0.71	0.52	1.51	0.50	1.01	107
1.69	1.01	1.38	0.71	0.53	1.51	0.51	1.01	108
1.69	1.02	1.38	0.72	0.54	1.51	0.52	1.02	109
1.69	1.02	1.38	0.73	0.55	1.51	0.53	1.02	110
1.70	1.03	1.37	0.74	0.56	1.51	0.54	1.03	111
1.70	1.04	1.37	0.75	0.57	1.52	0.55	1.04	112
1.71	1.04	1.37	0.76	0.58	1.52	0.57	1.04	113
1.71	1.05	1.37	0.77	0.59	1.52	0.58	1.05	114
1.72	1.06	1.36	0.78	0.61	1.52	0.59	1.06	115
1.72	1.07	1.36	0.79	0.62	1.52	0.60	1.06	116
1.73	1.07	1.36	0.80	0.63	1.53	0.61	1.07	117
1.74	1.08	1.36	0.81	0.64	1.53	0.62	1.08	118
1.74	1.09	1.36	0.82	0.65	1.53	0.64	1.09	119
1.75	1.10	1.36	0.83	0.67	1.54	0.65	1.10	120
1.76	1.11	1.36	0.84	0.68	1.54	0.66	1.11	121
1.77	1.12	1.36	0.85	0.69	1.55	0.67	1.11	122
1.77	1.13	1.36	0.86	0.70	1.55	0.69	1.12	123
1.78	1.14	1.36	0.88	0.72	1.56	0.70	1.13	124
1.79	1.15	1.36	0.89	0.73	1.56	0.71	1.14	125
1.80	1.16	1.36	0.90	0.74	1.57	0.73	1.15	126
1.81	1.17	1.36	0.91	0.76	1.58	0.74	1.16	127
1.82	1.18	1.36	0.93	0.77	1.58	0.76	1.18	128
1.83	1.19	1.36	0.94	0.79	1.59	0.77	1.19	129
1.84	1.20	1.36	0.95	0.80	1.60	0.79	1.20	130
