System 1	System 2	Speed
2.70	2.68	20
2.59	2.57	21
2.49	2.47	22
2.40	2.38	23
2.32	2.30	24
2.25	2.22	25
2.18	2.15	26
2.12	2.09	27
2.07	2.03	28
2.02	1.98	29
1.97	1.94	30
1.93	1.89	31
1.90	1.85	32
1.86	1.82	33
1.84	1.78	34
1.81	1.75	35
1.79	1.73	36
1.77	1.70	37
1.75	1.68	38
1.73	1.66	39
1.72	1.64	40
1.71	1.63	41
1.70	1.61	42
1.69	1.60	43
1.69	1.59	44
1.69	1.58	45
1.69	1.57	46
1.69	1.57	47
1.69	1.56	48
1.69	1.56	49
1.70	1.56	50
1.71	1.56	51
1.72	1.56	52
1.73	1.56	53
1.74	1.57	54
1.75	1.57	55
1.77	1.58	56
1.79	1.59	57
1.80	1.59	58
1.82	1.60	59
1.84	1.62	60
